product_id,idea_text,gender,category,subcategory,fabric,theme,season,occasion,color,source_site,price,rating,review_count,scrape_date,success_score,success_label
P000033,"A winter collection mini dress blending athleisure vibes with velvet, in coral, for female, suited to party wear.",female,dresses,mini dress,velvet,athleisure,winter,party wear,coral,synthetic_v1,2969.53,5.0,8,2026-06-29,70.6,high
P000034,"Minimal olive green heels crafted in denim with boho influence, made for female shoppers, wedding guest ready.",female,footwear,heels,denim,boho,autumn,wedding guest,olive green,synthetic_v1,2121.87,4.2,179,2026-06-29,65.35,medium
P000035,"A y2k maroon sneakers for male designed for casual daily wear, made from leather, perfect for spring.",male,footwear,sneakers,leather,y2k,spring,casual daily wear,maroon,synthetic_v1,1685.74,3.7,242,2026-06-29,76.33,high
P000036,"A winter collection jewelry blending sustainable fashion vibes with wool, in lavender, for female, suited to beach wear.",female,accessories,jewelry,wool,sustainable fashion,winter,beach wear,lavender,synthetic_v1,922.75,4.2,16,2026-06-29,63.0,medium
P000037,"Designing a coral silk briefs with a athleisure aesthetic, ideal for gym and workout during spring.",unisex,innerwear,briefs,silk,athleisure,spring,gym and workout,coral,synthetic_v1,889.55,3.4,145,2026-06-29,64.98,medium
P000038,"A summer collection hoodie blending festival wear vibes with bamboo fabric, in charcoal grey, for male, suited to date night.",male,topwear,hoodie,bamboo fabric,festival wear,summer,date night,charcoal grey,synthetic_v1,611.66,3.8,207,2026-06-29,66.75,medium
P000039,"New unisex boots idea: formal office style, charcoal grey tone, chiffon material, built for office wear.",unisex,footwear,boots,chiffon,formal office,autumn,office wear,charcoal grey,synthetic_v1,1622.05,4.7,115,2026-06-29,69.04,high
P000040,"Designing a beige chiffon bomber jacket with a athleisure aesthetic, ideal for casual daily wear during winter.",unisex,outerwear,bomber jacket,chiffon,athleisure,winter,casual daily wear,beige,synthetic_v1,1762.4,4.9,43,2026-06-29,73.92,high
P000041,"A monsoon collection lehenga blending cottagecore vibes with fleece, in beige, for female, suited to wedding guest.",female,ethnic wear,lehenga,fleece,cottagecore,monsoon,wedding guest,beige,synthetic_v1,1232.44,4.7,60,2026-06-29,61.87,low
P000042,"Designing a charcoal grey rayon kurti with a gothic aesthetic, ideal for beach wear during spring.",unisex,ethnic wear,kurti,rayon,gothic,spring,beach wear,charcoal grey,synthetic_v1,2162.39,3.9,22,2026-06-29,53.24,low
P000043,"A summer collection polo blending festival wear vibes with silk, in mustard yellow, for female, suited to party wear.",female,topwear,polo,silk,festival wear,summer,party wear,mustard yellow,synthetic_v1,1347.48,4.6,14,2026-06-29,57.71,low
P000044,"Minimal beige sunglasses crafted in linen with preppy influence, made for female shoppers, loungewear ready.",female,accessories,sunglasses,linen,preppy,all-season,loungewear,beige,synthetic_v1,1085.38,4.8,146,2026-06-29,72.3,high
P000045,"New unisex thermal wear idea: wedding season style, maroon tone, bamboo fabric material, built for party wear.",unisex,innerwear,thermal wear,bamboo fabric,wedding season,summer,party wear,maroon,synthetic_v1,963.09,4.2,44,2026-06-29,57.98,low
P000046,"Minimal powder blue heels crafted in leather with coastal grandma influence, made for male shoppers, loungewear ready.",male,footwear,heels,leather,coastal grandma,spring,loungewear,powder blue,synthetic_v1,2792.97,3.0,100,2026-06-29,56.86,low
P000047,"New unisex tracksuit idea: y2k style, lavender tone, nylon material, built for casual daily wear.",unisex,activewear,tracksuit,nylon,y2k,autumn,casual daily wear,lavender,synthetic_v1,2177.27,3.7,340,2026-06-29,73.51,high
P000048,"A autumn collection bomber jacket blending sustainable fashion vibes with bamboo fabric, in olive green, for unisex, suited to travel.",unisex,outerwear,bomber jacket,bamboo fabric,sustainable fashion,autumn,travel,olive green,synthetic_v1,1381.98,3.9,27,2026-06-29,64.18,medium
P000049,"A autumn collection blouse blending gothic vibes with velvet, in white, for female, suited to wedding guest.",female,topwear,blouse,velvet,gothic,autumn,wedding guest,white,synthetic_v1,905.13,3.6,325,2026-06-29,57.34,low
P000050,"Minimal maroon kurta crafted in wool with coastal grandma influence, made for female shoppers, casual daily wear ready.",female,ethnic wear,kurta,wool,coastal grandma,all-season,casual daily wear,maroon,synthetic_v1,1943.29,5.0,523,2026-06-29,72.65,high
P000051,"A techwear mustard yellow trouser for unisex designed for travel, made from satin, perfect for summer.",unisex,bottomwear,trouser,satin,techwear,summer,travel,mustard yellow,synthetic_v1,2547.64,3.2,341,2026-06-29,68.57,high
P000052,"A winter collection saree blending minimalist vibes with leather, in ivory, for unisex, suited to gym and workout.",unisex,ethnic wear,saree,leather,minimalist,winter,gym and workout,ivory,synthetic_v1,369.79,2.8,149,2026-06-29,65.5,medium
P000053,"Minimal sage green belt crafted in nylon with sustainable fashion influence, made for unisex shoppers, office wear ready.",unisex,accessories,belt,nylon,sustainable fashion,summer,office wear,sage green,synthetic_v1,970.1,4.1,3,2026-06-29,55.87,low
P000054,"Minimal beige thermal wear crafted in cotton with athleisure influence, made for unisex shoppers, festive wear ready.",unisex,innerwear,thermal wear,cotton,athleisure,winter,festive wear,beige,synthetic_v1,2156.42,3.8,326,2026-06-29,67.55,medium
P000055,"New unisex briefs idea: minimalist style, charcoal grey tone, cotton material, built for casual daily wear.",unisex,innerwear,briefs,cotton,minimalist,summer,casual daily wear,charcoal grey,synthetic_v1,462.82,3.3,209,2026-06-29,64.98,medium
P000056,"Minimal powder blue tank top crafted in nylon with indo-western influence, made for male shoppers, office wear ready.",male,topwear,tank top,nylon,indo-western,all-season,office wear,powder blue,synthetic_v1,2562.15,4.0,65,2026-06-29,65.54,medium
P000057,"Minimal white cap crafted in velvet with formal office influence, made for unisex shoppers, travel ready.",unisex,accessories,cap,velvet,formal office,spring,travel,white,synthetic_v1,1024.48,3.3,43,2026-06-29,61.27,low
P000058,"New male maxi dress idea: preppy style, sage green tone, fleece material, built for loungewear.",male,dresses,maxi dress,fleece,preppy,all-season,loungewear,sage green,synthetic_v1,667.56,4.2,640,2026-06-29,72.7,high
P000059,"boho inspired kurti in powder blue wool, targeted at male customers for casual daily wear in monsoon.",male,ethnic wear,kurti,wool,boho,monsoon,casual daily wear,powder blue,synthetic_v1,644.2,3.7,131,2026-06-29,64.75,medium
P000060,"New male loafers idea: gothic style, coral tone, velvet material, built for party wear.",male,footwear,loafers,velvet,gothic,summer,party wear,coral,synthetic_v1,318.51,4.5,78,2026-06-29,57.14,low
P000061,"Designing a maroon denim windcheater with a y2k aesthetic, ideal for gym and workout during monsoon.",male,outerwear,windcheater,denim,y2k,monsoon,gym and workout,maroon,synthetic_v1,3060.81,5.0,3,2026-06-29,60.77,low
P000062,"Designing a sage green rayon maxi dress with a techwear aesthetic, ideal for loungewear during monsoon.",unisex,dresses,maxi dress,rayon,techwear,monsoon,loungewear,sage green,synthetic_v1,1751.13,3.6,83,2026-06-29,65.3,medium
P000063,"Designing a olive green chiffon bra with a cottagecore aesthetic, ideal for casual daily wear during all-season.",female,innerwear,bra,chiffon,cottagecore,all-season,casual daily wear,olive green,synthetic_v1,3049.78,4.6,68,2026-06-29,60.56,low
P000064,"New female boots idea: vintage style, sage green tone, knit material, built for gym and workout.",female,footwear,boots,knit,vintage,spring,gym and workout,sage green,synthetic_v1,1228.59,4.5,105,2026-06-29,67.39,medium
P000065,"A all-season collection sherwani blending cottagecore vibes with satin, in charcoal grey, for male, suited to gym and workout.",male,ethnic wear,sherwani,satin,cottagecore,all-season,gym and workout,charcoal grey,synthetic_v1,1573.22,4.3,64,2026-06-29,59.2,low
P000066,"Designing a charcoal grey nylon saree with a athleisure aesthetic, ideal for gym and workout during winter.",unisex,ethnic wear,saree,nylon,athleisure,winter,gym and workout,charcoal grey,synthetic_v1,1989.99,4.3,233,2026-06-29,73.63,high
P000067,"old money inspired tracksuit in lavender linen, targeted at female customers for wedding guest in spring.",female,activewear,tracksuit,linen,old money,spring,wedding guest,lavender,synthetic_v1,2248.44,3.1,3,2026-06-29,60.07,low
P000068,"korean fashion inspired running tights in beige organic cotton, targeted at female customers for loungewear in monsoon.",female,activewear,running tights,organic cotton,korean fashion,monsoon,loungewear,beige,synthetic_v1,298.0,2.5,310,2026-06-29,68.51,high
P000069,"A monsoon collection blouse blending formal office vibes with leather, in powder blue, for female, suited to wedding guest.",female,topwear,blouse,leather,formal office,monsoon,wedding guest,powder blue,synthetic_v1,251.23,3.9,264,2026-06-29,66.37,medium
P000070,"A spring collection tank top blending formal office vibes with silk, in beige, for female, suited to festive wear.",female,topwear,tank top,silk,formal office,spring,festive wear,beige,synthetic_v1,2218.25,4.8,212,2026-06-29,71.37,high
P000071,"Designing a lavender nylon cargo pants with a indo-western aesthetic, ideal for office wear during spring.",male,bottomwear,cargo pants,nylon,indo-western,spring,office wear,lavender,synthetic_v1,1145.97,4.7,145,2026-06-29,73.28,high
P000072,"wedding season inspired coat in beige leather, targeted at male customers for wedding guest in summer.",male,outerwear,coat,leather,wedding season,summer,wedding guest,beige,synthetic_v1,1861.87,3.2,142,2026-06-29,62.17,low
P000073,"A techwear black shorts for unisex designed for festive wear, made from recycled polyester, perfect for autumn.",unisex,bottomwear,shorts,recycled polyester,techwear,autumn,festive wear,black,synthetic_v1,200.0,3.6,119,2026-06-29,68.79,high
P000074,"A autumn collection heels blending sustainable fashion vibes with knit, in black, for female, suited to travel.",female,footwear,heels,knit,sustainable fashion,autumn,travel,black,synthetic_v1,2065.48,4.3,121,2026-06-29,67.08,medium
P000075,"New female mini dress idea: formal office style, navy blue tone, velvet material, built for date night.",female,dresses,mini dress,velvet,formal office,autumn,date night,navy blue,synthetic_v1,1254.33,3.6,291,2026-06-29,68.19,medium
P000076,"A monsoon edit white denim jacket for female designed for gym and workout, made from satin, perfect for spring.",female,outerwear,denim jacket,satin,monsoon edit,spring,gym and workout,white,synthetic_v1,1767.44,4.0,65,2026-06-29,60.79,low
P000077,"Minimal sage green polo crafted in rayon with boho influence, made for female shoppers, casual daily wear ready.",female,topwear,polo,rayon,boho,winter,casual daily wear,sage green,synthetic_v1,1938.74,4.1,74,2026-06-29,64.04,medium
P000078,"A autumn collection hoodie blending boho vibes with polyester, in sage green, for female, suited to gym and workout.",female,topwear,hoodie,polyester,boho,autumn,gym and workout,sage green,synthetic_v1,2568.95,4.6,106,2026-06-29,72.02,high
P000079,"A winter collection loafers blending festival wear vibes with satin, in sage green, for unisex, suited to beach wear.",unisex,footwear,loafers,satin,festival wear,winter,beach wear,sage green,synthetic_v1,642.29,4.4,136,2026-06-29,62.25,low
P000080,"A indo-western coral denim jacket for unisex designed for festive wear, made from velvet, perfect for spring.",unisex,outerwear,denim jacket,velvet,indo-western,spring,festive wear,coral,synthetic_v1,1699.23,4.9,133,2026-06-29,72.34,high
P000081,"A winter collection heels blending y2k vibes with cotton, in lavender, for unisex, suited to casual daily wear.",unisex,footwear,heels,cotton,y2k,winter,casual daily wear,lavender,synthetic_v1,1083.53,4.4,606,2026-06-29,73.4,high
P000082,"streetwear inspired briefs in white wool, targeted at male customers for travel in autumn.",male,innerwear,briefs,wool,streetwear,autumn,travel,white,synthetic_v1,990.71,4.3,363,2026-06-29,71.69,high
P000083,"A korean fashion navy blue maxi dress for female designed for casual daily wear, made from cotton, perfect for all-season.",female,dresses,maxi dress,cotton,korean fashion,all-season,casual daily wear,navy blue,synthetic_v1,1688.22,3.3,236,2026-06-29,69.96,high
P000084,"Minimal black running tights crafted in fleece with korean fashion influence, made for male shoppers, wedding guest ready.",male,activewear,running tights,fleece,korean fashion,autumn,wedding guest,black,synthetic_v1,2660.94,3.8,1,2026-06-29,59.81,low
P000085,"Designing a powder blue polyester bra with a coastal grandma aesthetic, ideal for casual daily wear during spring.",male,innerwear,bra,polyester,coastal grandma,spring,casual daily wear,powder blue,synthetic_v1,1170.69,4.7,24,2026-06-29,57.57,low
P000086,"A all-season collection gym shorts blending formal office vibes with rayon, in olive green, for female, suited to beach wear.",female,activewear,gym shorts,rayon,formal office,all-season,beach wear,olive green,synthetic_v1,1251.61,3.9,209,2026-06-29,68.48,high
P000087,"A autumn collection tracksuit blending streetwear vibes with knit, in rust orange, for female, suited to wedding guest.",female,activewear,tracksuit,knit,streetwear,autumn,wedding guest,rust orange,synthetic_v1,2059.36,5.0,386,2026-06-29,82.66,high
P000088,"Minimal coral denim jacket crafted in denim with y2k influence, made for unisex shoppers, office wear ready.",unisex,outerwear,denim jacket,denim,y2k,spring,office wear,coral,synthetic_v1,200.0,4.1,97,2026-06-29,70.68,high
P000089,"A y2k white shorts for unisex designed for wedding guest, made from rayon, perfect for summer.",unisex,bottomwear,shorts,rayon,y2k,summer,wedding guest,white,synthetic_v1,1969.81,4.2,50,2026-06-29,70.03,high
P000090,"Minimal coral loafers crafted in rayon with gothic influence, made for unisex shoppers, date night ready.",unisex,footwear,loafers,rayon,gothic,monsoon,date night,coral,synthetic_v1,778.06,3.8,174,2026-06-29,56.93,low
P000091,"New unisex blazer idea: cottagecore style, olive green tone, velvet material, built for beach wear.",unisex,outerwear,blazer,velvet,cottagecore,all-season,beach wear,olive green,synthetic_v1,200.0,4.4,175,2026-06-29,66.34,medium
P000092,"Designing a beige polyester gown with a old money aesthetic, ideal for office wear during winter.",male,dresses,gown,polyester,old money,winter,office wear,beige,synthetic_v1,1808.08,4.2,32,2026-06-29,65.53,medium
P000093,"Minimal coral flats crafted in chiffon with gothic influence, made for unisex shoppers, festive wear ready.",unisex,footwear,flats,chiffon,gothic,all-season,festive wear,coral,synthetic_v1,1082.94,3.8,107,2026-06-29,54.6,low
P000094,"A spring collection sandals blending gothic vibes with linen, in coral, for male, suited to wedding guest.",male,footwear,sandals,linen,gothic,spring,wedding guest,coral,synthetic_v1,1303.39,4.5,1108,2026-06-29,64.56,medium
P000095,"Designing a coral cotton maxi dress with a athleisure aesthetic, ideal for casual daily wear during spring.",female,dresses,maxi dress,cotton,athleisure,spring,casual daily wear,coral,synthetic_v1,1339.12,4.6,9,2026-06-29,67.64,medium
P000096,"Designing a maroon wool skirt with a formal office aesthetic, ideal for date night during summer.",unisex,bottomwear,skirt,wool,formal office,summer,date night,maroon,synthetic_v1,1946.84,3.9,29,2026-06-29,60.37,low
P000097,"A y2k beige trouser for male designed for date night, made from polyester, perfect for monsoon.",male,bottomwear,trouser,polyester,y2k,monsoon,date night,beige,synthetic_v1,1331.45,3.4,44,2026-06-29,64.98,medium
P000098,"gothic inspired denim jacket in pastel pink nylon, targeted at female customers for gym and workout in all-season.",female,outerwear,denim jacket,nylon,gothic,all-season,gym and workout,pastel pink,synthetic_v1,200.0,3.3,87,2026-06-29,55.78,low
P000099,"A cottagecore lavender blazer for male designed for beach wear, made from fleece, perfect for winter.",male,outerwear,blazer,fleece,cottagecore,winter,beach wear,lavender,synthetic_v1,604.37,4.2,21,2026-06-29,60.31,low
P000100,"Minimal black polo crafted in denim with minimalist influence, made for female shoppers, casual daily wear ready.",female,topwear,polo,denim,minimalist,all-season,casual daily wear,black,synthetic_v1,2145.61,3.2,149,2026-06-29,68.35,medium
P000101,"Minimal maroon saree crafted in linen with vintage influence, made for male shoppers, gym and workout ready.",male,ethnic wear,saree,linen,vintage,winter,gym and workout,maroon,synthetic_v1,1579.23,4.5,110,2026-06-29,65.47,medium
P000102,"indo-western inspired leggings in pastel pink nylon, targeted at female customers for party wear in all-season.",female,bottomwear,leggings,nylon,indo-western,all-season,party wear,pastel pink,synthetic_v1,687.95,5.0,73,2026-06-29,70.85,high
P000103,"New unisex jewelry idea: cottagecore style, white tone, denim material, built for loungewear.",unisex,accessories,jewelry,denim,cottagecore,spring,loungewear,white,synthetic_v1,2499.73,4.3,51,2026-06-29,62.08,low
P000104,"A monsoon collection crop top blending festival wear vibes with cotton, in black, for unisex, suited to wedding guest.",unisex,topwear,crop top,cotton,festival wear,monsoon,wedding guest,black,synthetic_v1,476.13,4.8,360,2026-06-29,69.52,high
P000105,"A monsoon edit pastel pink sports bra for male designed for gym and workout, made from denim, perfect for summer.",male,activewear,sports bra,denim,monsoon edit,summer,gym and workout,pastel pink,synthetic_v1,1662.24,3.5,26,2026-06-29,56.33,low
P000106,"New unisex kurta idea: old money style, black tone, recycled polyester material, built for beach wear.",unisex,ethnic wear,kurta,recycled polyester,old money,summer,beach wear,black,synthetic_v1,2215.37,4.0,403,2026-06-29,75.13,high
P000107,"vintage inspired blouse in beige leather, targeted at unisex customers for travel in summer.",unisex,topwear,blouse,leather,vintage,summer,travel,beige,synthetic_v1,903.12,3.4,15,2026-06-29,56.04,low
P000108,"A boho mustard yellow loafers for female designed for casual daily wear, made from organic cotton, perfect for summer.",female,footwear,loafers,organic cotton,boho,summer,casual daily wear,mustard yellow,synthetic_v1,2320.67,4.0,350,2026-06-29,67.44,medium
P000109,"A autumn collection shorts blending korean fashion vibes with satin, in lavender, for male, suited to travel.",male,bottomwear,shorts,satin,korean fashion,autumn,travel,lavender,synthetic_v1,2379.98,3.9,214,2026-06-29,74.59,high
P000110,"Designing a powder blue satin windcheater with a wedding season aesthetic, ideal for casual daily wear during summer.",male,outerwear,windcheater,satin,wedding season,summer,casual daily wear,powder blue,synthetic_v1,1096.83,3.7,168,2026-06-29,63.38,medium
P000111,"Minimal navy blue heels crafted in denim with coastal grandma influence, made for female shoppers, office wear ready.",female,footwear,heels,denim,coastal grandma,monsoon,office wear,navy blue,synthetic_v1,1115.01,4.7,1120,2026-06-29,70.09,high
P000112,"New unisex briefs idea: cottagecore style, powder blue tone, silk material, built for date night.",unisex,innerwear,briefs,silk,cottagecore,monsoon,date night,powder blue,synthetic_v1,1524.73,3.9,327,2026-06-29,60.41,low
P000113,"A formal office rust orange flats for unisex designed for gym and workout, made from velvet, perfect for all-season.",unisex,footwear,flats,velvet,formal office,all-season,gym and workout,rust orange,synthetic_v1,1196.15,3.6,107,2026-06-29,62.2,low
P000114,"gothic inspired t-shirt in black silk, targeted at female customers for festive wear in autumn.",female,topwear,t-shirt,silk,gothic,autumn,festive wear,black,synthetic_v1,1528.46,4.9,291,2026-06-29,69.74,high
P000115,"New unisex heels idea: cottagecore style, mustard yellow tone, chiffon material, built for travel.",unisex,footwear,heels,chiffon,cottagecore,monsoon,travel,mustard yellow,synthetic_v1,934.19,4.5,523,2026-06-29,68.0,medium
P000116,"A monsoon collection kurta blending cottagecore vibes with silk, in navy blue, for female, suited to wedding guest.",female,ethnic wear,kurta,silk,cottagecore,monsoon,wedding guest,navy blue,synthetic_v1,1769.27,4.2,134,2026-06-29,65.91,medium
P000117,"A winter collection blouse blending athleisure vibes with fleece, in lavender, for male, suited to casual daily wear.",male,topwear,blouse,fleece,athleisure,winter,casual daily wear,lavender,synthetic_v1,1567.18,3.7,9,2026-06-29,63.04,medium
P000118,"A streetwear pastel pink shorts for unisex designed for festive wear, made from satin, perfect for monsoon.",unisex,bottomwear,shorts,satin,streetwear,monsoon,festive wear,pastel pink,synthetic_v1,693.69,4.4,851,2026-06-29,82.19,high
P000119,"y2k inspired cap in beige bamboo fabric, targeted at male customers for party wear in winter.",male,accessories,cap,bamboo fabric,y2k,winter,party wear,beige,synthetic_v1,1417.26,4.0,31,2026-06-29,66.2,medium
P000120,"Designing a white recycled polyester bra with a cottagecore aesthetic, ideal for gym and workout during all-season.",male,innerwear,bra,recycled polyester,cottagecore,all-season,gym and workout,white,synthetic_v1,2495.96,3.8,13,2026-06-29,52.97,low
P000121,"A techwear lavender yoga pants for male designed for gym and workout, made from fleece, perfect for monsoon.",male,activewear,yoga pants,fleece,techwear,monsoon,gym and workout,lavender,synthetic_v1,1530.86,3.8,39,2026-06-29,66.31,medium
P000122,"Minimal navy blue boots crafted in fleece with formal office influence, made for female shoppers, date night ready.",female,footwear,boots,fleece,formal office,winter,date night,navy blue,synthetic_v1,1582.04,3.9,63,2026-06-29,64.71,medium
P000123,"A y2k maroon loafers for female designed for date night, made from wool, perfect for winter.",female,footwear,loafers,wool,y2k,winter,date night,maroon,synthetic_v1,1555.94,3.5,21,2026-06-29,61.91,low
P000124,"A boho maroon jacket for female designed for date night, made from leather, perfect for winter.",female,outerwear,jacket,leather,boho,winter,date night,maroon,synthetic_v1,2649.04,4.3,111,2026-06-29,68.2,medium
P000125,"Minimal white midi dress crafted in rayon with boho influence, made for unisex shoppers, beach wear ready.",unisex,dresses,midi dress,rayon,boho,summer,beach wear,white,synthetic_v1,1042.84,3.9,36,2026-06-29,62.3,low
P000126,"Designing a white velvet lehenga with a sustainable fashion aesthetic, ideal for wedding guest during monsoon.",female,ethnic wear,lehenga,velvet,sustainable fashion,monsoon,wedding guest,white,synthetic_v1,1858.66,4.6,295,2026-06-29,69.72,high
